sample_id,source_digit,target_label,label,handedness,image_path,split
1_IMG_1180,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_1180.JPG,test
1_IMG_1271,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_1271.JPG,test
1_IMG_4050,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4050.JPG,test
1_IMG_4080,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4080.JPG,test
1_IMG_4172,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4172.JPG,test
1_IMG_4214,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4214.JPG,test
1_IMG_4224,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4224.JPG,test
1_IMG_4244,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4244.JPG,test
1_IMG_4307,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4307.JPG,test
1_IMG_4349,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4349.JPG,test
1_IMG_4382,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4382.JPG,test
1_IMG_4404,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4404.JPG,test
1_IMG_4555,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4555.JPG,test
1_IMG_4635,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4635.JPG,test
1_IMG_4827,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_4827.JPG,test
1_IMG_5092,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5092.JPG,test
1_IMG_5143,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5143.JPG,test
1_IMG_5256,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5256.JPG,test
1_IMG_5287,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5287.JPG,test
1_IMG_5646,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5646.JPG,test
1_IMG_5676,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5676.JPG,test
1_IMG_5686,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5686.JPG,test
1_IMG_5696,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5696.JPG,test
1_IMG_5848,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5848.JPG,test
1_IMG_5868,1,digit_1,0,Right,Sign-Language-Digits-Dataset\Dataset\1\IMG_5868.JPG,test
2_IMG_1130,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_1130.JPG,test
2_IMG_1191,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_1191.JPG,test
2_IMG_1272,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_1272.JPG,test
2_IMG_1282,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_1282.JPG,test
2_IMG_4091,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4091.JPG,test
2_IMG_4131,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4131.JPG,test
2_IMG_4245,2,digit_2,1,Right,Sign-Language-Digits-Dataset\Dataset\2\IMG_4245.JPG,test
